country,country_id,year,population,population_millions,population_category
Early-demographic dividend,V2,2024,3552278604,3552.28,High Population
Early-demographic dividend,V2,2023,3511607650,3511.61,High Population
Early-demographic dividend,V2,2022,3470644834,3470.64,High Population
Early-demographic dividend,V2,2021,3432026092,3432.03,High Population
Early-demographic dividend,V2,2020,3396051187,3396.05,High Population
Early-demographic dividend,V2,2019,3355014793,3355.01,High Population
Early-demographic dividend,V2,2018,3314245247,3314.25,High Population
Early-demographic dividend,V2,2017,3274060446,3274.06,High Population
Early-demographic dividend,V2,2016,3233033717,3233.03,High Population
Early-demographic dividend,V2,2015,3190318707,3190.32,High Population
Early-demographic dividend,V2,2014,3146800078,3146.8,High Population
Early-demographic dividend,V2,2013,3103677284,3103.68,High Population
Early-demographic dividend,V2,2012,3058869436,3058.87,High Population
Early-demographic dividend,V2,2011,3013476947,3013.48,High Population
Early-demographic dividend,V2,2010,2967104472,2967.1,High Population
Early-demographic dividend,V2,2009,2921563644,2921.56,High Population
Early-demographic dividend,V2,2008,2875943965,2875.94,High Population
Early-demographic dividend,V2,2007,2830531957,2830.53,High Population
Early-demographic dividend,V2,2006,2784726644,2784.73,High Population
Early-demographic dividend,V2,2005,2738846905,2738.85,High Population
Early-demographic dividend,V2,2004,2693184997,2693.18,High Population
Early-demographic dividend,V2,2003,2647109296,2647.11,High Population
Early-demographic dividend,V2,2002,2601917557,2601.92,High Population
Early-demographic dividend,V2,2001,2556335424,2556.34,High Population
Early-demographic dividend,V2,2000,2509431470,2509.43,High Population
Early-demographic dividend,V2,1999,2462704115,2462.7,High Population
Early-demographic dividend,V2,1998,2416119734,2416.12,High Population
East Asia & Pacific,Z4,2024,2388319494,2388.32,High Population
East Asia & Pacific,Z4,2023,2384441485,2384.44,High Population
East Asia & Pacific,Z4,2022,2379617118,2379.62,High Population
East Asia & Pacific,Z4,2021,2375117716,2375.12,High Population
East Asia & Pacific,Z4,2020,2369420882,2369.42,High Population
Early-demographic dividend,V2,1997,2369042441,2369.04,High Population
East Asia & Pacific,Z4,2019,2359762190,2359.76,High Population
East Asia & Pacific,Z4,2018,2347576325,2347.58,High Population
East Asia & Pacific,Z4,2017,2333475520,2333.48,High Population
Early-demographic dividend,V2,1996,2321284245,2321.28,High Population
East Asia & Pacific,Z4,2016,2317076058,2317.08,High Population
East Asia & Pacific,Z4,2015,2300844269,2300.84,High Population
East Asia & Pacific,Z4,2014,2284385542,2284.39,High Population
Early-demographic dividend,V2,1995,2273692181,2273.69,High Population
East Asia & Pacific,Z4,2013,2267072102,2267.07,High Population
East Asia & Pacific,Z4,2012,2249081393,2249.08,High Population
East Asia & Pacific,Z4,2011,2230826576,2230.83,High Population
Early-demographic dividend,V2,1994,2228719169,2228.72,High Population
East Asia & Pacific,Z4,2010,2214613815,2214.61,High Population
East Asia & Pacific,Z4,2009,2199148703,2199.15,High Population
Early-demographic dividend,V2,1993,2184656122,2184.66,High Population
East Asia & Pacific,Z4,2008,2183472438,2183.47,High Population
East Asia & Pacific,Z4,2007,2167046538,2167.05,High Population
East Asia & Pacific,Z4,2006,2150688938,2150.69,High Population
East Asia & Pacific (excluding high income),4E,2024,2141122258,2141.12,High Population
Early-demographic dividend,V2,1992,2138854231,2138.85,High Population
East Asia & Pacific (excluding high income),4E,2023,2137527754,2137.53,High Population
East Asia & Pacific,Z4,2005,2134573057,2134.57,High Population
East Asia & Pacific (excluding high income),4E,2022,2133560408,2133.56,High Population
East Asia & Pacific (excluding high income),4E,2021,2128553744,2128.55,High Population
East Asia & Pacific (excluding high income),4E,2020,2121866294,2121.87,High Population
East Asia & Pacific,Z4,2004,2118747885,2118.75,High Population
East Asia & Pacific (excluding high income),4E,2019,2112289891,2112.29,High Population
East Asia & Pacific,Z4,2003,2102761941,2102.76,High Population
East Asia & Pacific (excluding high income),4E,2018,2100698838,2100.7,High Population
Early-demographic dividend,V2,1991,2092102478,2092.1,High Population
East Asia & Pacific (excluding high income),4E,2017,2087238522,2087.24,High Population
East Asia & Pacific,Z4,2002,2086144389,2086.14,High Population
East Asia & Pacific (excluding high income),4E,2016,2071486140,2071.49,High Population
East Asia & Pacific,Z4,2001,2068682053,2068.68,High Population
East Asia & Pacific (excluding high income),4E,2015,2056050896,2056.05,High Population
East Asia & Pacific,Z4,2000,2050149617,2050.15,High Population
Early-demographic dividend,V2,1990,2044241467,2044.24,High Population
East Asia & Pacific (excluding high income),4E,2014,2040383789,2040.38,High Population
East Asia & Pacific,Z4,1999,2030912462,2030.91,High Population
East Asia & Pacific (excluding high income),4E,2013,2023850158,2023.85,High Population
East Asia & Pacific,Z4,1998,2010443502,2010.44,High Population
East Asia & Pacific (excluding high income),4E,2012,2006566431,2006.57,High Population
Early-demographic dividend,V2,1989,1994666990,1994.67,High Population
East Asia & Pacific (excluding high income),4E,2011,1989106668,1989.11,High Population
East Asia & Pacific,Z4,1997,1988067577,1988.07,High Population
East Asia & Pacific (excluding high income),4E,2010,1973602166,1973.6,High Population
East Asia & Pacific,Z4,1996,1964830092,1964.83,High Population
East Asia & Pacific (excluding high income),4E,2009,1959017463,1959.02,High Population
Early-demographic dividend,V2,1988,1947928955,1947.93,High Population
East Asia & Pacific (excluding high income),4E,2008,1944305887,1944.31,High Population
East Asia & Pacific,Z4,1995,1941185229,1941.19,High Population
East Asia & Pacific (excluding high income),4E,2007,1929185103,1929.19,High Population
East Asia & Pacific,Z4,1994,1917389243,1917.39,High Population
East Asia & Pacific (excluding high income),4E,2006,1914002124,1914.0,High Population
Early-demographic dividend,V2,1987,1901405537,1901.41,High Population
East Asia & Pacific (excluding high income),4E,2005,1898853723,1898.85,High Population
East Asia & Pacific,Z4,1993,1893258583,1893.26,High Population
East Asia & Pacific (excluding high income),4E,2004,1883675167,1883.68,High Population
East Asia & Pacific,Z4,1992,1869074614,1869.07,High Population
East Asia & Pacific (excluding high income),4E,2003,1868409996,1868.41,High Population
Early-demographic dividend,V2,1986,1855391159,1855.39,High Population
East Asia & Pacific (excluding high income),4E,2002,1852659155,1852.66,High Population
East Asia & Pacific,Z4,1991,1844189975,1844.19,High Population
East Asia & Pacific (excluding high income),4E,2001,1836260943,1836.26,High Population
East Asia & Pacific (excluding high income),4E,2000,1819011507,1819.01,High Population
East Asia & Pacific,Z4,1990,1817735909,1817.74,High Population
Early-demographic dividend,V2,1985,1810019176,1810.02,High Population
East Asia & Pacific (excluding high income),4E,1999,1800932833,1800.93,High Population
East Asia & Pacific,Z4,1989,1790597018,1790.6,High Population
East Asia & Pacific (excluding high income),4E,1998,1781546477,1781.55,High Population
Early-demographic dividend,V2,1984,1765269111,1765.27,High Population
East Asia & Pacific,Z4,1988,1762936165,1762.94,High Population
East Asia & Pacific (excluding high income),4E,1997,1760512371,1760.51,High Population
East Asia & Pacific (excluding high income),4E,1996,1738632397,1738.63,High Population
East Asia & Pacific,Z4,1987,1734703629,1734.7,High Population
Early-demographic dividend,V2,1983,1721104015,1721.1,High Population
East Asia & Pacific (excluding high income),4E,1995,1716602413,1716.6,High Population
East Asia & Pacific,Z4,1986,1706848439,1706.85,High Population
East Asia & Pacific (excluding high income),4E,1994,1694244506,1694.24,High Population
East Asia & Pacific,Z4,1985,1680467718,1680.47,High Population
Early-demographic dividend,V2,1982,1677532811,1677.53,High Population
East Asia & Pacific (excluding high income),4E,1993,1671604370,1671.6,High Population
East Asia & Pacific,Z4,1984,1655263328,1655.26,High Population
East Asia & Pacific (excluding high income),4E,1992,1648872786,1648.87,High Population
Early-demographic dividend,V2,1981,1634107159,1634.11,High Population
East Asia & Pacific,Z4,1983,1630462798,1630.46,High Population
East Asia & Pacific (excluding high income),4E,1991,1625498444,1625.5,High Population
East Asia & Pacific,Z4,1982,1604460320,1604.46,High Population
East Asia & Pacific (excluding high income),4E,1990,1600739173,1600.74,High Population
Early-demographic dividend,V2,1980,1591961664,1591.96,High Population
East Asia & Pacific,Z4,1981,1578588756,1578.59,High Population
East Asia & Pacific (excluding high income),4E,1989,1575101307,1575.1,High Population
East Asia & Pacific,Z4,1980,1555055871,1555.06,High Population
Early-demographic dividend,V2,1979,1552194676,1552.19,High Population
East Asia & Pacific (excluding high income),4E,1988,1549038591,1549.04,High Population
East Asia & Pacific,Z4,1979,1532261700,1532.26,High Population
Early-demographic dividend,V2,1978,1514572817,1514.57,High Population
East Asia & Pacific,Z4,1978,1509073118,1509.07,High Population
East Asia & Pacific,Z4,1977,1486397441,1486.4,High Population
Early-demographic dividend,V2,1977,1478479688,1478.48,High Population
East Asia & Pacific,Z4,1976,1463747757,1463.75,High Population
Early-demographic dividend,V2,1976,1442753987,1442.75,High Population
East Asia & Pacific,Z4,1975,1439634332,1439.63,High Population
East Asia & Pacific,Z4,1974,1413496627,1413.5,High Population
Early-demographic dividend,V2,1975,1407636737,1407.64,High Population
East Asia & Pacific,Z4,1973,1384605041,1384.61,High Population
Early-demographic dividend,V2,1974,1373219822,1373.22,High Population
East Asia & Pacific,Z4,1972,1354228289,1354.23,High Population
Early-demographic dividend,V2,1973,1339671375,1339.67,High Population
East Asia & Pacific,Z4,1971,1322856516,1322.86,High Population
Early-demographic dividend,V2,1972,1307009646,1307.01,High Population
East Asia & Pacific,Z4,1970,1288721548,1288.72,High Population
Early-demographic dividend,V2,1971,1276141826,1276.14,High Population
East Asia & Pacific,Z4,1969,1256167955,1256.17,High Population
Early-demographic dividend,V2,1970,1245960808,1245.96,High Population
East Asia & Pacific,Z4,1968,1224397449,1224.4,High Population
Early-demographic dividend,V2,1969,1215536741,1215.54,High Population
East Asia & Pacific,Z4,1967,1194633135,1194.63,High Population
Early-demographic dividend,V2,1968,1185936827,1185.94,High Population
East Asia & Pacific,Z4,1966,1166223463,1166.22,High Population
Early-demographic dividend,V2,1967,1156817324,1156.82,High Population
East Asia & Pacific,Z4,1965,1136869154,1136.87,High Population
Early-demographic dividend,V2,1966,1128474732,1128.47,High Population
East Asia & Pacific,Z4,1964,1110651177,1110.65,High Population
Early-demographic dividend,V2,1965,1101264258,1101.26,High Population
East Asia & Pacific,Z4,1963,1085095424,1085.1,High Population
Early-demographic dividend,V2,1964,1074021283,1074.02,High Population
East Asia & Pacific,Z4,1962,1059216594,1059.22,High Population
Early-demographic dividend,V2,1963,1046697479,1046.7,High Population
East Asia & Pacific,Z4,1961,1044749888,1044.75,High Population
East Asia & Pacific,Z4,1960,1042818620,1042.82,High Population
Early-demographic dividend,V2,1962,1020130725,1020.13,High Population
Early-demographic dividend,V2,1961,994176841,994.18,High Population
Early-demographic dividend,V2,1960,968909356,968.91,High Population
Africa Eastern and Southern,ZH,2024,769280888,769.28,High Population
Africa Eastern and Southern,ZH,2023,750491370,750.49,High Population
Africa Eastern and Southern,ZH,2022,731821393,731.82,High Population
Africa Eastern and Southern,ZH,2021,713090928,713.09,High Population
Africa Eastern and Southern,ZH,2020,694446100,694.45,High Population
Africa Eastern and Southern,ZH,2019,675950189,675.95,High Population
Africa Eastern and Southern,ZH,2018,657801085,657.8,High Population
Africa Eastern and Southern,ZH,2017,640058741,640.06,High Population
Africa Eastern and Southern,ZH,2016,623369401,623.37,High Population
Africa Eastern and Southern,ZH,2015,607123269,607.12,High Population
Africa Eastern and Southern,ZH,2014,590968990,590.97,High Population
Africa Eastern and Southern,ZH,2013,575202699,575.2,High Population
Africa Eastern and Southern,ZH,2012,559609961,559.61,High Population
Africa Eastern and Southern,ZH,2011,544737983,544.74,High Population
Africa Eastern and Southern,ZH,2010,530308387,530.31,High Population
Africa Western and Central,ZI,2024,521764076,521.76,High Population
Africa Eastern and Southern,ZH,2009,516003448,516.0,High Population
Africa Western and Central,ZI,2023,509398589,509.4,High Population
Africa Eastern and Southern,ZH,2008,502070763,502.07,High Population
Africa Western and Central,ZI,2022,497387180,497.39,High Population
Arab World,1A,2024,492612632,492.61,High Population
Africa Eastern and Southern,ZH,2007,488580707,488.58,High Population
Africa Western and Central,ZI,2021,485920997,485.92,High Population
Arab World,1A,2023,482105978,482.11,High Population
Africa Eastern and Southern,ZH,2006,475606210,475.61,High Population
Africa Western and Central,ZI,2020,474569351,474.57,High Population
Arab World,1A,2022,471352066,471.35,High Population
Africa Western and Central,ZI,2019,463365429,463.37,High Population
Africa Eastern and Southern,ZH,2005,463076637,463.08,High Population
Arab World,1A,2021,460646603,460.65,High Population
Arab World,1A,2020,453723239,453.72,High Population
Africa Western and Central,ZI,2018,452195915,452.2,High Population
Africa Eastern and Southern,ZH,2004,450928044,450.93,High Population
Arab World,1A,2019,444281315,444.28,High Population
Africa Western and Central,ZI,2017,440882906,440.88,High Population
Africa Eastern and Southern,ZH,2003,439173286,439.17,High Population
Arab World,1A,2018,435998060,436.0,High Population
Africa Western and Central,ZI,2016,429454743,429.45,High Population
Arab World,1A,2017,428315886,428.32,High Population
Africa Eastern and Southern,ZH,2002,427820358,427.82,High Population
Arab World,1A,2016,419808341,419.81,High Population
Africa Western and Central,ZI,2015,418127845,418.13,High Population
Africa Eastern and Southern,ZH,2001,416807868,416.81,High Population
Arab World,1A,2015,410190679,410.19,High Population
Africa Western and Central,ZI,2014,406992047,406.99,High Population
Africa Eastern and Southern,ZH,2000,406156661,406.16,High Population
Arab World,1A,2014,400231008,400.23,High Population
Africa Western and Central,ZI,2013,396030207,396.03,High Population
Africa Eastern and Southern,ZH,1999,395750933,395.75,High Population
Arab World,1A,2013,390954281,390.95,High Population
Africa Eastern and Southern,ZH,1998,385505757,385.51,High Population
Africa Western and Central,ZI,2012,385360349,385.36,High Population
Arab World,1A,2012,381030177,381.03,High Population
Africa Eastern and Southern,ZH,1997,375646235,375.65,High Population
Africa Western and Central,ZI,2011,374790143,374.79,High Population
Arab World,1A,2011,372054934,372.05,High Population
Africa Eastern and Southern,ZH,1996,366138524,366.14,High Population
Africa Western and Central,ZI,2010,364358270,364.36,High Population
Arab World,1A,2010,363568534,363.57,High Population
Africa Eastern and Southern,ZH,1995,356580375,356.58,High Population
Arab World,1A,2009,356386673,356.39,High Population
Africa Western and Central,ZI,2009,354343844,354.34,High Population
Arab World,1A,2008,347684619,347.68,High Population
Africa Eastern and Southern,ZH,1994,347441809,347.44,High Population
Africa Western and Central,ZI,2008,344586109,344.59,High Population
Arab World,1A,2007,338947976,338.95,High Population
Africa Eastern and Southern,ZH,1993,338324002,338.32,High Population
Africa Western and Central,ZI,2007,334984176,334.98,High Population
Arab World,1A,2006,330526310,330.53,High Population
